Reference, Quantity, Value, Footprint, Supplier, Ordnernumber
C1 C2 C3 C36 C37 C38 ,6,"47p","Capacitor_SMD:C_0805_2012Metric","Mouser","CC805FRNPO9BN470 
C11 C15 ,2,"2.2µF 16V","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T","Mouser","80-T491B225M016AT"
C33 C30 C31 C32 C19 C13 C17 ,7,"10µF 16V","Capacitor_Tantalum_SMD:CP_EIA-6032-15_Kemet-U","Mouser","581-TAJC106M016"
C34 C18 C43 C48 C46 C44 C42 C45 C41 C47 C10 C12 C14 C16 C8 C20 C21 C22 C23 C24 C25 C26 C35 ,23,"100n","Capacitor_SMD:C_0805_2012Metric","Mouser","80-C0805R104J5RACTU"
C39 C40 ,2,"27","Capacitor_SMD:C_0805_2012Metric","Mouser","CC0805FRNPO9BN270"
C4 C5 ,2,"220","Capacitor_SMD:C_0805_2012Metric","Mouser","CC0805FRNPO9BN221"
C6 ,1,"33","Capacitor_SMD:C_0805_2012Metric","Mouser","CC805FRNPO9BN330"
D10 ,1,"LL4148","Diode_SMD:D_MiniMELF","Mouser","512-LL4148"
D4 D5 D1 D2 D3 ,5,"BAV99","Package_TO_SOT_SMD:SOT-23","MOuser",,"637-BAV99"
D9 ,1,"SM4007","Diode_SMD:D_MELF","Mouser","833-SM4007PL-TP"
F1 ,1,"RUEF090","Fuse:Fuse_Bourns_MF-RG300","Mouser","650-RUEF090"
J1 ,1,"Conn_02x13_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical","Mouser","538-90131-0773 "
JP0 ,1,"GND","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm","a part of PCB",""
JP1 ,1,"IRQ9","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Mouser","649-78511-202HLF"
L3 L2 L1 ,3,"10µH","Inductor_SMD:L_0805_2012Metric","Mouser","963-CBC2012T100M "
L4 L5 L6 ,3,"68nH","Inductor_SMD:L_1206_3216Metric","Mouser","815-AISC-1206-68NJ-T "
P1 ,1,"VGA-PORT","Connector_Dsub:DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm_wide","Mouser","
R1 R2 R3 R12 ,4,"150","Resistor_SMD:R_0805_2012Metric","Mouser","71-CRCW0805150RFKEAC "
R11 R16 R17 R55 R57 R69 R18 R59 R61 R63 R73 ,11,"10k","Resistor_SMD:R_0805_2012Metric","Mouser","71-CRCW080510K0FKEAC "
R13 ,1,"20","Resistor_SMD:R_0805_2012Metric","Mouser","71-CRCW080520R0FKEAC"
R14 ,1,"100","Resistor_SMD:R_0805_2012Metric","Mouser","71-CRCW0805100RFKEAC"
R19 ,1,"1","Resistor_SMD:R_0805_2012Metric","Mouser","71-CRCW08051R00FKEAC"
R21 R20 ,2,"75","Resistor_SMD:R_0805_2012Metric","Mouser","71-CRCW080575R0FKEAC"
R4 R5 R10 R7 R9 R8 R15 ,7,"33","Resistor_SMD:R_0805_2012Metric","Mouser","71-CRCW080533R0FKEAC "
RP2 RP1 RP3 ,3,"33","Resistor_SMD:R_Array_Concave_4x0603","Mouser","652-CAY16-33R0F4LF"
U1 ,1,"GD5428","Package_QFP:PQFP-160_28x28mm_P0.65mm","varous","CL-GD5422, 5424,5426,5428,5429"
U14 U13 U12 U11 ,4,"KM416C256","Package_SO_J-Lead:SOJ-40","Varios","416256 aka 256kx16 FPM DRAM dual-CAS"
U2 ,1,"LM334M","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Mouser","926-LM334MX/NOPB"
U3 ,1,"93C46","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Mouser","579-93C46AXT-I/SN"
U4_Socket ,1,"27C256","Package_DIP:DIP-28_W15.24mm_Socket","Mouser","DILB28P-223TLF" 
U4 ,1,"27C256","Package_DIP:DIP-28_W15.24mm_Socket","Varios","27C256 DIP-28" 
U5 ,1,"74LS541","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","Mouser","595-SN74LS541DWR"
X1 ,1,"Bus_ISA_8bit","Connector_PCBEdge:BUS_AT","jlcpcb","a part of PCB ;-)"
Y1 ,1,"14.318M","Crystal:Crystal_SMD_0603-2Pin_6.0x3.5mm","Mouser","520-ECS143-20-23A-EN"
SlotBraket,1,"Type 9","Keystone 9001","Mouser","534-9200-1";
